gender,distance,task,model_id,training_rows,features_n,sample_size_too_small,split_rows,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,mean_roc_auc,silhouette,anomaly_rate,risk_score_mean,risk_score_std
male,500m,grade,male_500m_grade,5838,34,False,3,0.5426927093931542,0.5433036986292539,0.5419425472866843,0.5416613613278712,,,,,
female,500m,key_lap,female_500m_key_lap,4278,55,False,3,0.8995126960093285,0.8740966452868593,0.8702785520230675,0.8999128242429708,,,,,
male,500m,key_lap,male_500m_key_lap,5838,55,False,3,0.8997897799655723,0.8887591311809669,0.8820119071866865,0.9004276321346371,,,,,
female,500m,max_round,female_500m_max_round,4278,55,False,3,0.4714512888815179,0.303779487590836,0.2659364074393297,0.4631940039821753,,,,,
male,500m,max_round,male_500m_max_round,5838,55,False,3,0.38638640085099807,0.2859438442757512,0.2551994158890482,0.3740739378116344,,,,,
female,500m,risk_detection,female_500m_risk_detection,4278,15,False,1,,,,,,,0.1201496026180458,-0.0513361256843168,0.0746006715579441
male,500m,risk_detection,male_500m_risk_detection,5838,15,False,1,,,,,,,0.1200753682768071,-0.0620382724872385,0.0774962218713768
female,500m,style_cluster,female_500m_style_cluster,4278,18,False,1,,,,,,0.4499170325595912,,,
male,500m,style_cluster,male_500m_style_cluster,5838,18,False,1,,,,,,0.388514647634264,,,
female,500m,tactical_style,female_500m_tactical_style,4278,34,False,3,1.0,1.0,1.0,1.0,,,,,
male,500m,tactical_style,male_500m_tactical_style,5838,34,False,3,1.0,1.0,1.0,1.0,,,,,
