n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,distance,model_id,features_n,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
2506,0.7170790103750998,0.7102169086534488,0.7101802460129758,0.717179566394925,0.7103377132120197,0.7102169086534488,,athlete_group_holdout,grade_label,1000m,1000m_grade,45,,,,,
5267,0.62749193089045,0.6312717274372487,0.6251791898274298,0.6249820178309535,0.6317184229634505,0.6312717274372487,,time_external_season_ge_2023,grade_label,1000m,1000m_grade,45,,,,,
2499,0.7034813925570228,0.7035147435897435,0.7024561310183817,0.702418267156413,0.7020628135796065,0.7035147435897435,,random_stratified_holdout,grade_label,1000m,1000m_grade,45,,,,,
2506,0.47525937749401437,0.2607199997729967,0.25675167589317544,0.4380995903642773,0.28796777075448254,0.2607199997729967,,athlete_group_holdout,max_round_score,1000m,1000m_max_round,70,,,,,
5267,0.4030757546990697,0.2689971712076101,0.20340638965650218,0.3935618388890332,0.1975927009868366,0.2305690038922372,,time_external_season_ge_2023,max_round_score,1000m,1000m_max_round,70,,,,,
2499,0.45778311324529813,0.2771496452136965,0.28163626284644927,0.4233621070040982,0.3930221796898109,0.2771496452136965,,random_stratified_holdout,max_round_score,1000m,1000m_max_round,70,,,,,
2506,0.7330407023144453,0.6809462158413669,0.6858810667401134,0.7286210042328137,0.693359253692409,0.6809462158413669,0.7922637820589663,athlete_group_holdout,final_entry_label,1000m,1000m_final_entry,70,,,,,
5267,0.74368710841086,0.6673672355159184,0.6668868228954483,0.7440515225770067,0.6664181070727833,0.6673672355159184,0.7790395763924804,time_external_season_ge_2023,final_entry_label,1000m,1000m_final_entry,70,,,,,
2499,0.7414965986394558,0.6692689150794486,0.6752038081748606,0.7360945289116058,0.6840615376848906,0.6692689150794486,0.7693065966784483,random_stratified_holdout,final_entry_label,1000m,1000m_final_entry,70,,,,,
2506,0.9988028731045491,0.9987867488110679,0.9986860483982912,0.9988027142777705,0.9985860451808728,0.9987867488110679,,athlete_group_holdout,tactical_style_label,1000m,1000m_tactical_style,45,,,,,
5267,0.9990506929941143,0.998861695562295,0.9988751942567877,0.9990509798899553,0.9988895199738387,0.998861695562295,,time_external_season_ge_2023,tactical_style_label,1000m,1000m_tactical_style,45,,,,,
2499,0.9991996798719488,0.9994884910485933,0.9990139910464778,0.9992006279412986,0.9985454545454544,0.9994884910485933,,random_stratified_holdout,tactical_style_label,1000m,1000m_tactical_style,45,,,,,
2506,0.7398244213886672,0.7493373268413035,0.7299806383266225,0.7392971890367089,0.7164848322476154,0.7493373268413035,,athlete_group_holdout,key_lap_label,1000m,1000m_key_lap,70,,,,,
5267,0.6985000949307006,0.6986598996473473,0.6900069043912526,0.6959667499874013,0.6853436856968712,0.6986598996473473,,time_external_season_ge_2023,key_lap_label,1000m,1000m_key_lap,70,,,,,
2499,0.7390956382553021,0.7446063785577048,0.7282257229492932,0.738153341448964,0.7159128452201201,0.7446063785577048,,random_stratified_holdout,key_lap_label,1000m,1000m_key_lap,70,,,,,
9996,,,,,,,,unsupervised_full_fit,style_cluster,1000m,1000m_style_cluster,18,0.24358885026846874,"{""0"": 2492, ""1"": 3334, ""2"": 3862, ""3"": 308}",,,
9996,,,,,,,,unsupervised_full_fit,risk_score,1000m,1000m_risk_detection,15,,,0.12004801920768307,-0.05307648511764779,0.06600417199927347
